,feature,importance
187,interactions_per_contact__allweek__night__call__kurtosis,0.0
188,interactions_per_contact__allweek__night__text__mean,0.0
189,interactions_per_contact__allweek__night__text__median,0.0
190,interactions_per_contact__allweek__night__text__min,0.0
191,interactions_per_contact__allweek__night__text__max,0.0
192,interactions_per_contact__weekday__allday__call__skewness,0.006913523827301631
193,interactions_per_contact__weekday__allday__call__kurtosis,0.0
194,interactions_per_contact__weekday__allday__call__max,0.0
195,interactions_per_contact__weekday__allday__text__std,0.0
196,interactions_per_contact__weekday__allday__text__kurtosis,0.0075261097120046146
197,interactions_per_contact__weekday__allday__text__max,0.0
198,interactions_per_contact__weekday__day__call__mean,0.0
199,interactions_per_contact__weekday__day__call__std,0.0
200,interactions_per_contact__weekday__day__call__kurtosis,0.008450129768646506
201,interactions_per_contact__weekday__day__text__median,0.011363141161741981
202,interactions_per_contact__weekday__day__text__kurtosis,0.0
203,interactions_per_contact__weekday__day__text__min,0.0
204,interactions_per_contact__weekday__night__call__mean,0.006479488469214211
205,interactions_per_contact__weekday__night__call__std,0.0
206,interactions_per_contact__weekday__night__call__median,0.0
207,interactions_per_contact__weekday__night__call__skewness,0.0
208,interactions_per_contact__weekday__night__text__mean,0.0
209,interactions_per_contact__weekday__night__text__std,0.0
210,interactions_per_contact__weekday__night__text__skewness,0.0
211,interactions_per_contact__weekend__allday__call__mean,0.0
212,interactions_per_contact__weekend__allday__call__std,0.008311626331559798
213,interactions_per_contact__weekend__allday__call__skewness,0.0
214,interactions_per_contact__weekend__allday__call__kurtosis,0.0
215,interactions_per_contact__weekend__allday__call__max,0.0
216,interactions_per_contact__weekend__allday__text__median,0.004452535747992953
217,interactions_per_contact__weekend__allday__text__skewness,0.0
218,interactions_per_contact__weekend__day__call__mean,0.0
219,interactions_per_contact__weekend__day__call__std,0.0
220,interactions_per_contact__weekend__day__call__kurtosis,0.0
221,interactions_per_contact__weekend__day__call__min,0.0
222,interactions_per_contact__weekend__day__text__std,0.0054883082489862725
223,interactions_per_contact__weekend__day__text__skewness,0.0
224,interactions_per_contact__weekend__day__text__min,0.0
225,interactions_per_contact__weekend__day__text__max,0.0
226,interactions_per_contact__weekend__night__call__mean,0.0
227,interactions_per_contact__weekend__night__call__std,0.0
228,interactions_per_contact__weekend__night__call__min,0.0
229,interactions_per_contact__weekend__night__call__max,0.0
230,interactions_per_contact__weekend__night__text__median,0.01656955626476589
231,interevent_time__allweek__allday__call__median,0.0
232,interevent_time__allweek__allday__call__kurtosis,0.0
233,interevent_time__allweek__allday__call__min,0.007484415805666948
234,interevent_time__allweek__allday__text__median,0.0
235,interevent_time__allweek__allday__text__skewness,0.0
236,interevent_time__allweek__allday__text__kurtosis,0.0
237,interevent_time__allweek__day__call__skewness,0.0
238,interevent_time__allweek__day__call__kurtosis,0.0
239,interevent_time__allweek__day__call__max,0.0
240,interevent_time__allweek__day__text__mean,0.0
241,interevent_time__allweek__day__text__skewness,0.0
242,interevent_time__allweek__day__text__kurtosis,0.0
243,interevent_time__allweek__day__text__min,0.0
244,interevent_time__allweek__night__call__mean,0.0
245,interevent_time__allweek__night__call__kurtosis,0.016103356149425943
246,interevent_time__allweek__night__text__mean,0.001520319799614818
247,interevent_time__allweek__night__text__median,0.0
248,interevent_time__allweek__night__text__kurtosis,0.0
249,interevent_time__allweek__night__text__max,0.0
250,interevent_time__weekday__allday__call__skewness,0.025930710134682653
251,interevent_time__weekday__allday__call__max,0.0
252,interevent_time__weekday__allday__text__mean,0.0
253,interevent_time__weekday__allday__text__std,0.0
254,interevent_time__weekday__allday__text__skewness,0.0
255,interevent_time__weekday__allday__text__kurtosis,0.0
256,interevent_time__weekday__day__call__mean,0.006922487431636828
257,interevent_time__weekday__day__call__kurtosis,0.0
258,interevent_time__weekday__day__call__min,0.0
259,interevent_time__weekday__day__text__mean,0.013530818075950557
260,interevent_time__weekday__day__text__kurtosis,0.0
261,interevent_time__weekday__day__text__min,0.016483189604358177
262,interevent_time__weekday__night__call__median,0.0
263,interevent_time__weekday__night__call__kurtosis,0.006275050443699267
264,interevent_time__weekday__night__call__min,0.0
265,interevent_time__weekday__night__call__max,0.0
266,interevent_time__weekday__night__text__median,0.0
267,interevent_time__weekday__night__text__kurtosis,0.03016272926209039
268,interevent_time__weekday__night__text__min,0.00795492772097386
269,interevent_time__weekday__night__text__max,0.0
270,interevent_time__weekend__allday__call__median,0.0
271,interevent_time__weekend__allday__call__skewness,0.0
272,interevent_time__weekend__allday__text__skewness,0.0
273,interevent_time__weekend__allday__text__kurtosis,0.0
274,interevent_time__weekend__day__call__mean,0.0
275,interevent_time__weekend__day__text__mean,0.0
276,interevent_time__weekend__day__text__std,0.0
277,interevent_time__weekend__day__text__median,0.010330066317985607
278,interevent_time__weekend__day__text__skewness,0.0
279,interevent_time__weekend__day__text__kurtosis,0.0
280,interevent_time__weekend__day__text__min,0.0
281,interevent_time__weekend__night__call__std,0.0
282,interevent_time__weekend__night__call__skewness,0.0
283,interevent_time__weekend__night__call__max,0.0
284,interevent_time__weekend__night__text__median,0.013653459179232648
285,interevent_time__weekend__night__text__max,0.0061253126870484675
286,percent_pareto_interactions__allweek__allday__text,0.0
287,percent_pareto_interactions__allweek__day__call,0.0
288,percent_pareto_interactions__allweek__night__call,0.004254865281656405
289,percent_pareto_interactions__allweek__night__text,0.0
290,percent_pareto_interactions__weekday__night__call,0.0
291,percent_pareto_interactions__weekday__night__text,0.006193769413860382
292,percent_pareto_interactions__weekend__day__call,0.0
293,percent_pareto_interactions__weekend__day__text,0.0
294,percent_pareto_interactions__weekend__night__call,0.0
295,percent_pareto_interactions__weekend__night__text,0.007614605623107464
296,percent_pareto_durations__weekday__allday__call,0.0
